"package","resource_count","versions","realms"
"hl7.fhir.uv.fhir-for-fair",18,"R4B","uv"
"hl7.fhir.uv.ipa",18,"R4","uv"
"hl7.fhir.uv.livd",18,"R4","uv"
"hl7.fhir.uv.radiation-dose-summary",18,"R4","uv"
"hla.antibody.report",18,"R4",""
"ihe.pharm.mpd.r4",18,"R4","uv"
"ihe.rad.imr",18,"R4","uv"
"medcom.fhir.dk.core",18,"R4","dk"
"medmij.dental.care.r4",18,"R4",""
"silth.fhir.th.claimcon",18,"R4B",""
"tsti.adultcheck",18,"R4",""
"CDI-test",17,"R4",""
"ans.cnsa.fhir",17,"R4",""
"caseworks.mhaie",17,"R4",""
"cens.fhir.ssas-cdr",17,"R4",""
"de.fhir.medication",17,"R4",""
"de.nichtraucherhelden.export",17,"R4",""
"healthhub.fhir",17,"R4","dk, "
"hl7.ehrs.uv.base",17,"R5",""
"hl7.eu.fhir.xt-ehr.metadata",17,"R5","eu"
"hl7.fhir.us.davinci-pr",17,"R4","us"
"hl7.fhir.uv.extensions.r3",17,"R3","uv"
"ihe.domain.logical-datatypes",17,"R5","uv"
"kbv.mio.ddtk",17,"R4","de, "
"kl.dk.fhir.ffbreporting",17,"R4","dk"
"medcom.fhir.dk.conditionlisttestscripts",17,"R4","dk"
"medcom.fhir.dk.xdsmetadata",17,"R4","dk"
"nictiz.fhir.nl.stu3.zib2020-preadopt",17,"R3","nl"
"notts.scr.poc",17,"R3",""
"ans.fhir.fr.tddui",16,"R4","fr"
"cens.fhir.poclis",16,"R4",""
"de.biv-ot.everordnungabgabedaten",16,"R4",""
"de.gematik.ti",16,"R4","de"
"fhir.nhs.uk.wayfinder",16,"R4","us"
"hl7.fhir.cz.terminology",16,"R5","cz"
"hl7.fhir.us.home-lab-report",16,"R4","us"
"hl7.fhir.us.safr",16,"R4","us"
"hl7.fhir.uv.patient-corrections",16,"R4","uv"
"hl7.fhir.uv.phr",16,"R4","uv"
"ihe.iti.pixm",16,"R4","uv"
"ihe.pcc.odh",16,"R4","uv"
"immunizationfhirig",16,"R4",""
"mint.fhir",16,"R4",""
"HL7France-Clinicalprofils.072021",15,"R4",""
"cezih.hr.condition-management",15,"R4",", uv"
"de.gematik.isik-basismodul-stufe1",15,"R4","de"
"de.kvtelematik.eterminservice.r4",15,"R4",""
"de.medizininformatikinitiative.kerndatensatz.consent",15,"R4",""
"healthdata.be.r4.dcd",15,"R4",""
"hl7.fhir.au.pd",15,"R4","au"
"hl7.fhir.be.childrecord",15,"R4","be"
"hl7.fhir.be.vaccination",15,"R4","be"
"hl7.fhir.fi.smart",15,"R4","fi"
"hl7.fhir.test.multi-lang",15,"R4","test"
"hl7.fhir.us.dental-data-exchange",15,"R4","us"
"hl7.fhir.us.smp",15,"R4","us"
"hl7.fhir.uv.cardx-cied",15,"R5","uv"
"hl7.fhir.uv.cow",15,"R4","uv"
"hl7.fhir.uv.openehr-test",15,"R5","uv"
"ihe.iti.pcf",15,"R4","uv"
"ihe.iti.pdqm",15,"R4","uv"
"smart.who.int.pcmt",15,"R4",""
"Koppeltaalv2.00",14,"R4",""
"ch.fhir.ig.ch-atc",14,"R4","ch"
"healthhub.fhir.dk.core",14,"R4","dk"
"hl7.at.fhir.tc.wg.scheduling.r5",14,"R5",""
"hl7.fhir.be.glucose-monitoring",14,"R4","be"
"hl7.fhir.us.military-service",14,"R4","us"
"ig.fhir-il-community.org.t17",14,"R4",""
"myhie.v4-test",14,"R4",""
"org.example.ProfilingTrainingMay",14,"R4",""
"qualitype.fhir.samples",14,"R4",""
"IHE.ITI.PIXm",13,"R4","uv"
"KBV.ITA.FOR",13,"R4",""
"au.csiro.fhir.logical-models",13,"R4","au"
"ca.on.consent.r4",13,"R4","ca, "
"cens.fhir.poclis-ssmso",13,"R4",""
"ch.fhir.ig.ch-ips",13,"R4","ch"
"de.abda.eRezeptAbgabedatenBasis",13,"R4",""
"de.abda.eRezeptAbgabedatenPKV",13,"R4",""
"de.gematik.isik-terminplanung",13,"R4","de"
"de.gematik.isik-vitalparameter",13,"R4","de"
"de.gematik.isip",13,"R4","de"
"de.medizininformatikinitiative.kerndatensatz.medikation",13,"R4","de"
"ee.fhir.ts",13,"R5","ee"
"fhir.erezept.validator",13,"R4","us"
"hl7.at.fhir.core.r5",13,"R5",""
"hl7.fhir.us.central-cancer-registry-reporting",13,"R4","us"
"hl7.fhir.us.identity-matching",13,"R4","us"
"hl7.fhir.us.immds",13,"R4","us"
"hl7.fhir.us.nhsn-dqm",13,"R4","us"
"hl7.fhir.us.phcp",13,"R4","us"
"iknl.fhir.nl.r4.palga",13,"R4","nl"
"il.core.fhir.r4.2023",13,"R4",""
"il.tasmc.fhir.r4",13,"R4",""
"medcom.fhir.dk.coredocument",13,"R4","dk"
"rki.demis.r4.core",13,"R4",""
"shift.privacy.examples",13,"R4","uv"
"synapxe.rcm.snapshots",13,"R5",""
"vzvz.covid-vaccinations",13,"R4",""
"ans.fhir.fr.sdo",12,"R4","fr"
"cce.fhir.full",12,"R4",""
"de.gematik.fhir.atf",12,"R4",""
"de.gematik.isik-medikation",12,"R4","de"
"de.gevko.evo.hlm",12,"R4",""
"de.medizininformatikinitiative.kerndatensatz.dokument",12,"R4",""
"de.medizininformatikinitiative.kerndatensatz.laborbefund",12,"R4","de"
"difuture.trustcenter.sp",12,"R4",""
"ee.tehik.mpi",12,"R4",""
"example.fhir.uv.mycontentig",12,"R4","uv"
"gov.healthit.ecqi.ecqms.subset",12,"R4",""
"hl7.at.fhir.core.r4",12,"R4",""
"hl7.fhir.us.hai",12,"R4","us"
"hl7.fhir.us.pacio-rt",12,"R4","us"
"hl7.fhir.us.sirb",12,"R4","us"
"hl7.fhir.uv.bulkdata",12,"R4","uv"
"hl7.fhir.uv.epi-test",12,"R5","uv"
"hl7.fhir.uv.rtls",12,"R4","uv"
"hl7.fhir.uv.smart-app-launch",12,"R4","uv"
"ihe.palm.rpc",12,"R4","uv"
"nictiz.fhir.nl.stu3.questionnaires",12,"R3","nl"
"nxh.fhir.r4",12,"R4",""
"rki.demis.common.strict",12,"R4",", de"
"Arkhn.core",11,"R4",""
"ch.fhir.ig.ch-epr-ppqm",11,"R4","ch"
"com.medipee.fhir.uroli-export",11,"R4",""
"eu.epi.february2025b",11,"R5",""
"example.fhir.uv.myig",11,"R4","uv"
"globalalliant.us.eom",11,"R4",""
"hl7.cql",11,"R4",""
"hl7.fhir.be.allergy",11,"R4","be"
"hl7.fhir.essilux.core",11,"R4","essilux"
"hl7.fhir.us.pacio-cs",11,"R4","us"
"hl7.fhir.us.pacio-fs",11,"R4","us"
"hl7.fhir.uv.vulcan-schedule",11,"R4","uv"
"iknl.fhir.nl.r4.ncr-ehr.r4",11,"R4","nl"
"kvdigital.vermittlungscode-abrufen-pvs",11,"R4",""
"lung.ca.screen.assignment",11,"R4",""
"mes.fhir.fr.mesure",11,"R4","fr"
"odilab.evo",11,"R4",""
"smart.who.int.pcmt-vaxprequal",11,"R5",""
"ans.fhir.fr.cdl",10,"R4","fr"
"br.ufg.cgis.ig",10,"R4","br"
"de.diga.abatonra",10,"R4",""
"dk.4s-online.raplito",10,"R4",""
"ee.fhir.hdecl",10,"R5",""
"fhir.argonaut.pd",10,"R3","us"
"fhir.blood",10,"R4","us"
"fhir.gdx",10,"R4","us"
"hl7.fhir.us.davinci-pcde",10,"R4","us"
"hl7.fhir.us.health-care-surveys-reporting",10,"R4","us"
"hl7.fhir.us.mihr",10,"R4","us"
"hl7.fhir.us.odh",10,"R4","us"
"hl7.fhir.uv.application-feature",10,"R5","uv"
"hl7.fhir.uv.fhir-clinical-document",10,"R4","uv"
"kbv.mio.zaeb",10,"R4",""
"medcom.fhir.dk.messaging",10,"R4","dk"
"nictiz.fhir.nl.stu3.eafspraak",10,"R3","nl"
"rki.demis.statistic",10,"R4",", de"
"smart.who.int.ra",10,"R4","uv"
"ufp.core",10,"R4",""
"vzvz.fhir.nl-vzvz-core",10,"R4B","nl"
"ackig",9,"R4",""
"de.ihe-d.terminology",9,"R4",""
"de.medizininformatikinitiative.kerndatensatz.fall",9,"R4","de"
"de.medizininformatikinitiative.kerndatensatz.person",9,"R4","de"
"digi.derm",9,"R5",""
"ee.fhir.spd",9,"R5",""
"fhir.argonaut.clinicalnotes",9,"R3","us"
"fhir.kisumuhie",9,"R4","us"
"gen.kanta.r4",9,"R4",""
"hie2.packages",9,"R4",""
"hl7.fhir.be.lab",9,"R4","be"
"hl7.fhir.be.patient-care",9,"R4","be"
"hl7.fhir.be.public-health",9,"R4","be"
"hl7.fhir.us.hai-ltcf",9,"R4","us"
"hl7.fhir.us.nhsn-ade",9,"R4","us"
"hl7.fhir.uv.cardx-htn-mng",9,"R4","uv"
"hl7.fhir.uv.dap",9,"R6","uv"
"hl7.fhir.uv.rfi-ig",9,"R5","uv"
"ishmed.i14y.r4",9,"R4",""
"medcom.fhir.dk.document",9,"R4","dk"
"medcom.fhir.dk.messagedefinitions",9,"R4","dk"
"medmij.fhir.nl.r4.imageavailability",9,"R4","nl"
"nictiz.fhir.nl.r4.immunization",9,"R4","nl"
"nictiz.fhir.nl.r4.profilingguidelines",9,"R4","nl"
"nictiz.fhir.nl.stu3.bgz",9,"R3","nl"
"no.ntnu.folk.adamzk.it6103.wada-list",9,"R4",""
"on.accdr.pkg",9,"R4",""
"org.helex.ccm",9,"R5",""
"uk.nhsdigital.clinical.r4",9,"R4",""
"acme.profiling.tutorial.r4",8,"R4",""
"ca-on-dhdr-r4.v09",8,"R4","ca, "
"ca.on.mha.pds",8,"R4",", ca"
"cezih.hr.encounter-management",8,"R4",""
"ch.fhir.ig.ch-ig",8,"R4","ch"
"de.abda.erezeptabgabedatenpkv",8,"R4",""
"de.acticore.export",8,"R4",""
"de.gematik.epa.mhd",8,"R4","de"
"de.gematik.erezept-patientenrechnung.r4",8,"R4",""
"de.medizininformatikinitiative.kerndatensatz.diagnose",8,"R4","de"
"de.medizininformatikinitiative.kerndatensatz.prozedur",8,"R4","de"
"dk.ehmi.eas",8,"R4","dk"
"ezprava.fhir",8,"R4",""
"furore.test.fsh.demo",8,"R4",""
"gpc.stu3.fhir-assets",8,"R3",""
"hl7.fhir.eu.mpd",8,"R4","eu"
"hl7.fhir.eu.mpd-r5",8,"R5","eu"
"hl7.fhir.us.sdcde",8,"R3","us"
"hl7.fhir.uv.sdc.r4b",8,"R4B","uv"
"hl7.fhir.uv.security-label-ds4p",8,"R4","uv"
"ihe.pcc.ript",8,"R4","uv"
"maccabi.maccabident.medicationrequest.r4",8,"R4",""
"nictiz.fhir.nl.r4.outcomebasedcare",8,"R4","nl"
"ntt.healthgenig",8,"R4",""
"progetto.eng",8,"R4",""
"sunwayhie.r4",8,"R4",""
"LogicNets.NCCN",7,"R4",""
"TigaCoreHUB.Patient",7,"R4",""
"UK.NHSDigital.BARS.R4",7,"R4",""
"acme.base.r4",7,"R4","us"
"alpha.core.r4",7,"R4",""
"ca.learning-forge-v3.r4",7,"R4",""
"care.commonprofiles.fhir",7,"R4","se"
"de.gematik.epa.medication",7,"R4","de"
"devdays.r4.example.conformanceresources",7,"R4",""
"fhir.astp.bhp",7,"R4","us"
"fhir.paciosampledata",7,"R4","us"
"fhir.washabich.de",7,"R4","us"
"fi.kela.kanta.hrp.potilastiedot",7,"R4",""
"hl7.fhir.eu.extensions",7,"R5","eu"
"hl7.fhir.uv.aitransparency",7,"R4","uv"
"hl7.fhir.uv.immds",7,"R4","uv"
"ihe-de.iti.xds-vs-mappings",7,"R4","de"
"il.lab.tasmc.fhir.r4",7,"R4",""
"medcom.fhir.dk.hospitalnotification",7,"R4","dk"
"pbm.V1.fhir",7,"R4",""
"uk.gpc.updaterecord",7,"R3",""
"uk.nhsdigital.medicines.r4.test",7,"R4",""
"ASIC.Package",6,"R4",""
"KBV.MIO.U-Heft",6,"R4",""
"Pseudo.Frog",6,"R4",""
"TInterop.23",6,"R4",""
"acme.canada",6,"R4",""
"acs.ig.epi.pl.deu",6,"R5",""
"apo.cdl.test",6,"R4",""
"basisprofil.tiplu.de.r4",6,"R4",""
"ca.infoway.io.halo",6,"R4",""
"ch.fhir.BNW.ch-core",6,"R4","ch"
"de.gematik.isik-dokumentenaustausch",6,"R4","de"
"de.gkvsv.eRezeptAbrechnungsdaten",6,"R4",""
"devdays.letsbuildafhirspec.simplifier",6,"R4",""
"eRS.r4.assets",6,"R4",""
"ee.fhir.hcert",6,"R5","ee"
"eu.epi.february2025",6,"R5",""
"hl7.fhir.be.patient-monitoring",6,"R4","be"
"hl7.fhir.us.cql",6,"R4","us"
"hl7.fhir.us.nhsn-med-admin",6,"R4","us"
"hl7.fhir.us.pacio-toc",6,"R4","us"
"hl7.fhir.uv.ae-research-ig",6,"R5","uv"
"hl7.fhir.uv.ehrs-rle",6,"R6","uv"
"hl7.fhir.uv.smart-health-cards-and-links",6,"R4","uv"
"hmb.fhir.ig",6,"R4",""
"ig-ee-starter",6,"R5","ee"
"ihe.iti.deid",6,"R4","uv"
"ihe.rad.ira",6,"R5","uv"
"medcom.fhir.dk.conditionlist",6,"R4","dk"
"new.project20250522",6,"R4",""
"nictiz.fhir.nl.stu3.eoverdracht",6,"R3","nl"
"nictiz.fhir.nl.stu3.images",6,"R3","nl"
"qurasoft.saniq",6,"R4",""
"robin.gittest",6,"R4",""
"test.module3.v2",6,"R4",""
"test.prova",6,"R4",""
"tewhatuora.digitaltooling",6,"R4",""
"tewhatuora.digitaltooling.iguat",6,"R4",""
"MIO.KBV.Mutterpass",5,"R4",""
"Test20171286.neu",5,"R4",""
"WorkshopJena3.v1",5,"R4",""
"acme.dallas.cowboy",5,"R4",""
"acme.minneapolis.cowboy",5,"R4",""
"acme.product.r4",5,"R4",""
"asdmc.draft",5,"R4","il"
"ashmc.fhir",5,"R4","il"
"ch.fhir.ig.ch-allergyintolerance",5,"R4","ch"
"de.gematik.epa.research",5,"R4",""
"de.medizininformatikinitiative.kerndatensatz.symptom",5,"R4","de"
"ereferralontario.core",5,"R4",""
"fhir.cdc.opioid-mme-r4",5,"R4","us"
"fhir.example",5,"R4","us"
"fhir.nl.generic-functions-ig",5,"R4","us"
"hl7.fhir.be.infsec",5,"R4","be"
"hl7.fhir.be.problem",5,"R4","be"
"hl7.fhir.kr.core",5,"R4","kr"
"hl7.fhir.us.meds",5,"R3","us"
"hl7.fhir.uv.ihe-sdc-ecc",5,"R4","uv"
"hl7.fhir.uv.symptoms",5,"R5","uv"
"ihe.domain.profile",5,"R4","uv"
"ihe.pcc.fiio",5,"R4","uv"
"ihe.pcc.qedm",5,"R4","uv"
"ihe.qrph.madx",5,"R4","uv"
"iknl.fhir.nl.r4.performation",5,"R4","nl"
"il.fhir.r4.ashmc",5,"R4",""
"il.szmc.fhir.r4",5,"R4",""
"jct.fhir.spenser",5,"R5","uv"
"kbv.ita.for",5,"R4",""
"kbv.itv.evdga",5,"R4",""
"medcom.fhir.dk.homecareobservation",5,"R4","dk"
"nictiz.fhir.nl.r4.elz",5,"R4","nl"
"ontario-mha-old-v0.9-alpha",5,"R4",""
"rki.emiga.orgv",5,"R4",""
"shin.interconnect",5,"R4",""
"surescripts.RecordLocatorExchange",5,"R4",""
"CanonicalVersioningTest-0.01.01",4,"R4",""
"CarePlanRT.Eng",4,"R4",""
"CygnetHealth.00.00.01",4,"R4",""
"KBV.ITA.ERP",4,"R4",""
"MyHIE.v4",4,"R4",""
"NTT.HealthgenIG",4,"R4",""
"acme.cowboy.fsh",4,"R4",""
"canadian.fsh.demo",4,"R4",""
"de.dit-connectathon.r4",4,"R4",""
"de.transfer-abrechnungsdaten.r4",4,"R4",""
"dk.ehmi.eds",4,"R4","dk"
"dvmd.kdl.r4.2020",4,"R4",""
"fhir.ig.mc",4,"R4B","us"
"fi.kanta.gen.r4",4,"R4",""
"healthdata.be.r4.laboratorytestresult",4,"R4",""
"hl7.cda.examples",4,"R5","examples"
"hl7.fhir.dk.smart",4,"R4","dk"
"hl7.fhir.no.basis",4,"R4","no"
"hl7.fhir.us.bulkdata",4,"R4","us"
"hl7.fhir.us.medication-rems",4,"R4","us"
"hl7.fhir.us.medmorph-research-dex",4,"R4","us"
"hl7.fhir.uv.howto",4,"R5","uv"
"hl7.fhir.uv.sql-on-fhir",4,"R5","uv"
"hl7.fhirpath",4,"R4","uv"
"ihe.iti.mxde",4,"R4","uv"
"ishmed.i14y.r4.de",4,"R4",""
"junk.sample-preview",4,"R4",""
"marburg.schulung",4,"R4",""
"medcom.fhir.dk.acknowledgement",4,"R4","dk"
"nictiz.fhir.nl.r4.labexchange",4,"R4","nl"
"nictiz.fhir.nl.r4.patientcorrections",4,"R4","nl"
"npu-terminology",4,"R4","uv"
"portuguese.use-cases.guide",4,"R4B",""
"surescripts.CareEventNotifications",4,"R4",""
"test.circular.snapshot",4,"R4",""
"xxexample.fhir.food-Allergy",4,"R4","uv"
"IHE.ITI.PDQm",3,"R4","uv"
"Northwell.Person.Extensions",3,"R4B",""
"NorthwellHealth.Extensions.Person",3,"R4B",""
"Test.Luxottica2",3,"R4",""
"acme.product",3,"R3",""
"ans.fhir.fr.telesurveillance",3,"R4","fr"
"ca-on-dhdr-r4.v1",3,"R4",""
"ca.on.oh-setp",3,"R4",""
"com.hl7.cyb.r5",3,"R5",""
"de.TestprojektUKF.rmy",3,"R4",""
"de.abda.erezeptabgabedaten",3,"R4",""
"de.gematik.dev.epa",3,"R4",""
"devdays.letsbuild.simplifier",3,"R4",""
"dqa.outburn.r4",3,"R4",""
"duwel.nl.stu3.sandbox.dev",3,"R3","nl"
"eRS.STU3.Parameters",3,"R3",""
"ebm-cpg.netzwerk-universitaetsmedizin.de",3,"R5",""
"elona.health",3,"R4",""
"fhir.cqf.ccc",3,"R4","us"
"fhir.cqf.common",3,"R4","us"
"firely.com.accessibilitytesting",3,"R4",""
"fume.outburn.r4",3,"R4",""
"hl7.fhir.be.patientwill",3,"R4","be"
"hl7.fhir.rdsuwearme",3,"R4","rdsuwearme"
"hl7.fhir.us.exchange-routing",3,"R4","us"
"hl7.fhir.uv.mhealth-framework",3,"R4","uv"
"hl7.fhir.uv.tools.r3",3,"R3","uv"
"ihe.formatcode.fhir",3,"R4","uv"
"ihe.iti.aips",3,"R4","uv"
"ihe.iti.sips",3,"R4","uv"
"ihe.pcc.maps.us",3,"R4","uv"
"ihe.pcc.rsq",3,"R4","uv"
"ihe.qrph.qmod",3,"R4","uv"
"ihe.ro.smrt",3,"R4","uv"
"intraproc.anesthesia",3,"R4",""
"johnmoehrke.testvital.example",3,"R4","uv"
"myig",3,"R4","uv"
"questinnaire.profiles",3,"R4",""
"smart.who.int.ig-empty",3,"R4","uv"
"test.project1",3,"R4",""
"who.ved",3,"R4","uv"
"AndersonSanto.Tarefa6",2,"R4",""
"DL.base",2,"R4",""
"KBV.ITA.EAU",2,"R4",""
"KBV.MIO.ZAEB",2,"R4",""
"MyDummyProject.01",2,"R4",""
"OntarioContextManagement.core",2,"R4",""
"acme.fsh.ig.example",2,"R4",""
"beact.es.publishingtutorial",2,"R4",""
"ca.argentixinfo.howtopub",2,"R4","uv"
"ca.on.oh-erec-ig",2,"R4",""
"commonwell-consent-trial01.01",2,"R4",""
"d3b.kidsfirst.r4",2,"R4",""
"de.abda.erezeptabgabedatenbasis",2,"R4",""
"dk-ehmi-sbdh",2,"R4","dk"
"duwel.nl.r4.sandbox.dev",2,"R4","nl"
"ehi.api",2,"R4","us"
"ezFHIR2.pk",2,"R4",""
"fhir.jgsuess.psa-ig",2,"R4","us"
"fhir.project0620",2,"R4","us"
"fhir.test",2,"R4","us"
"fmcna.caredata.fhir.ig.r4.copy",2,"R4",""
"healthdata.be.r4.clinicalreportresearch",2,"R4",""
"hl7.eu.fhir.coalesced",2,"R4","eu"
"hl7.fhir.efss",2,"R5","efss"
"hl7.fhir.us.patient-reported-outcomes",2,"R4","us"
"hl7.fhir.uv.adverseeventclinicalcare",2,"R5","uv"
"hl7.fhir.uv.cdisc-lab",2,"R4","uv"
"hl7.fhir.uv.deval",2,"R4","uv"
"hl7.fhir.uv.epi-asean",2,"R4","uv"
"hl7.fhir.uv.epi-jp-ig",2,"R5","uv"
"hl7.fhir.uv.ibcm",2,"R5","uv"
"hl7.fhir.uv.smart-web-messaging",2,"R4","uv"
"hl7.terminology.r4b",2,"R4B","uv"
"ig.in",2,"R4","in"
"ihe.iti.mhds",2,"R4","uv"
"il.dqa.fhir.r4",2,"R4",""
"il.fhir.r4.dgmc",2,"R4",""
"kbv.all.st-rc",2,"R4",""
"medigree.fhir.translations.langpack",2,"R4",""
"mrrt.mintmedical",2,"R4",""
"ontariomicdrfhirimplementationguide-0.10.00",2,"R4",""
"outburn.general.purpose.staging",2,"R4",""
"rambam-fhir.health.gov.il",2,"R4",""
"resource.versioning",2,"R4",""
"rki.demis.laboratory",2,"R4",""
"smart.who.int.ips-pilgrimage-test",2,"R4","uv"
"stb.combined",2,"R4",""
"test.touchstone.at.package",2,"R4",""
"testprojekt.sl.r4",2,"R4","sl"
"xxxexample.fhir.uv.myig",2,"R4","uv"
"Berkay.Sandbox",1,"R4",""
"DIFUTURE.trustcenter.sp",1,"R4",""
"Formation.FHIR",1,"R4",""
"LS.fhir.r4.DevDays2019.labobservations",1,"R4",""
"Medical.Certificate",1,"R4",""
"Medication.ProjectSIU3",1,"R3",""
"NCN2.01",1,"R3",""
"NICEProfiling.v23Q1",1,"R3",""
"NaminderSTU3.testing",1,"R3",""
"Northwell.Extensions",1,"R4B",""
"Patient.Hospice-LOC",1,"R4",""
"Test20171202.com",1,"R4",""
"Touchstone-ereferralontario.core",1,"R4",""
"acme.base",1,"R4",""
"ai4health.it.test.r4",1,"R4",""
"ans.fr.doctrine",1,"R4","fr"
"ans.fr.documentation",1,"R4","fr"
"ans.fr.securisation-transport",1,"R4","fr"
"ca.on.patient-summary",1,"R4",""
"cezih.uv.cod",1,"R4",""
"ch.cel.thetest2-core",1,"R4",""
"ch.raly.ig.raly-examples",1,"R4",""
"cms.fhir.qmd",1,"R4","uv"
"cp.test.project.v1-0",1,"R4",""
"custom-extensions.ammy.test",1,"R5",""
"de.gematik.dev.ti",1,"R4",""
"de.gematik.epa.audit",1,"R4",""
"de.gematik.isik-labor",1,"R4",""
"de.gevko.dev.te-tvz",1,"R4",""
"dev.spilikin.aua.PainManagement",1,"R4",""
"dev.spilikin.aua.painmanagement",1,"R4",""
"devdays.letsbuildafhirspec.simplifier1",1,"R4",""
"dvmd.kdl.r4",1,"R4",""
"dvmd.kdl.r4.2021",1,"R4",""
"dvmd.kdl.r4.2022",1,"R4",""
"dw.gardenia",1,"R4",""
"eMERGEClinicalGeneticsReports.FHIRExtensionResources",1,"R4",""
"fbe.babycare.app",1,"R4",""
"fhir.tx.support.r3",1,"R3","us"
"first.package",1,"R4",""
"geosalud.UY.implementationGuide",1,"R4",""
"globalalliant.us.eom-updates",1,"R4",""
"hl7-eu-microbiology-experiment",1,"R4",""
"hl7.cda.uv.core",1,"R5","uv"
"hl7.eu.fhir.gh-ips",1,"R4","eu"
"hl7.eu.fhir.xshare-ips-plus",1,"R4","eu"
"hl7.eu.fhir.xshare-ipsr",1,"R4","eu"
"hl7.fhir.cl.CoreCH",1,"R4","cl"
"hl7.fhir.eu.extensions.r5",1,"R5","eu"
"hl7.fhir.nume.dev",1,"R4","nume"
"hl7.fhir.pubpack",1,"R4","uv"
"hl7.fhir.us.measureset",1,"R4","us"
"hl7.fhir.us.udap-security",1,"R4","us"
"hl7.fhir.uv.cdisc-mapping",1,"R4","uv"
"hl7.fhir.uv.cds-hooks",1,"R4","uv"
"hl7.fhir.uv.cds-hooks-library",1,"R4","uv"
"hl7.fhir.uv.shorthand",1,"R4","uv"
"hl7.fhir.uv.termfundamentals",1,"R5","uv"
"hl7.fhir.uv.xver.r4",1,"R4","uv"
"hl7.fhir.uv.xver.r4b",1,"R4B","uv"
"hl7.terminology.r3",1,"R3","uv"
"hl7.xprod.uv.gender-harmony",1,"R5",""
"hl7.xprod.uv.piqi",1,"R5",""
"hl7.xprod.uv.tinkar",1,"R5",""
"ihe.pcc.ems-overall",1,"R4","uv"
"kbv.basis.with.expansion",1,"R4",""
"my-ig",1,"R4","uv"
"nhsdigital.fhir.stu3",1,"R3",""
"pbmesolutions.v1.fhir",1,"R4",""
"sfm.030521",1,"R4",""
"smart.who.int.dak-SMBP",1,"R4",""
"smart.who.int.dak-ccc",1,"R4B",""
"smart.who.int.dak-empty",1,"R4",""
"smart.who.int.dak-immz",1,"R4",""
"smart.who.int.dak-pnc",1,"R4",""
"smart.who.int.dak-smbp",1,"R4",""
"smart.who.int.dak-tb",1,"R4",""
"smart.who.int.ig-starter-kit",1,"R5","uv"
"smart.who.int.l2-hhas",1,"R4",""
"smart.who.int.ts",1,"R4",""
"synapxe.rcm",1,"R5",""
"ten.fhir",1,"R4",""
"tesisoncologicia.ubo",1,"R4",""
"test.colo.qc",1,"R4",""
"test.fhir",1,"R4",""
"tewhatuora.digitaltooling.ig",1,"R4",""
"vzvz.fhir.nl-vzvz-core-stu3",1,"R3","nl"
